year,county,sector,gwh,population,gwh_per_capita
2016,San Luis Obispo,"Transportation, Communications, & Utilities",94.4855670165973,281681,0.00033543464776324036
2017,San Luis Obispo,Agriculture and Water Pumping,245.230596151817,282103,0.0008692945348040148
2017,San Luis Obispo,Commercial,604.910183640174,282103,0.0021442883756648246
2017,San Luis Obispo,Industrial,115.50423339574,282103,0.00040943993291719694
2017,San Luis Obispo,Mining,28.6839794063987,282103,0.00010167910091845424
2017,San Luis Obispo,Residential,629.170273309027,282103,0.0022302856520810734
2017,San Luis Obispo,Streetlighting,4.03255270946239,282103,1.4294611221654467e-05
2017,San Luis Obispo,"Transportation, Communications, & Utilities",100.396158266273,282103,0.0003558847593477312
2018,San Luis Obispo,Agriculture and Water Pumping,240.948743891899,282952,0.0008515534221065728
2018,San Luis Obispo,Commercial,600.272914093345,282952,0.0021214655280519133
2018,San Luis Obispo,Industrial,127.734824479075,282952,0.0004514363725263472
2018,San Luis Obispo,Mining,36.2070110925244,282952,0.00012796167227135485
2018,San Luis Obispo,Residential,616.968826261477,282952,0.0021804716922357043
2018,San Luis Obispo,Streetlighting,4.00805174824067,282952,1.4165129591735242e-05
2018,San Luis Obispo,"Transportation, Communications, & Utilities",97.5770278338391,282952,0.00034485364243348374
2019,San Luis Obispo,Agriculture and Water Pumping,193.595979026357,282617,0.0006850117969773829
2019,San Luis Obispo,Commercial,599.0329507667,282617,0.0021195927731406813
2019,San Luis Obispo,Industrial,119.72338039462,282617,0.0004236241287488721
2019,San Luis Obispo,Mining,35.3242128892474,282617,0.00012498969591088788
2019,San Luis Obispo,Residential,604.504697461816,282617,0.0021389537694541235
2019,San Luis Obispo,Streetlighting,4.12748811940437,282617,1.4604528812507282e-05
